 nmax=         200 tol=   9.99999975E-06

 a=   0.00000000     E=  -2.00001526    
 a=   5.00000007E-02 E=  -1.67913377    
 a=  0.100000001     E=  -1.46257031    
 a=  0.150000006     E=  -1.30548942    
 a=  0.200000003     E=  -1.18591893    
 a=  0.250000000     E=  -1.09175253    
 a=  0.300000012     E=  -1.01563215    
 a=  0.349999994     E= -0.952849090    
 a=  0.400000006     E= -0.900240123    
 a=  0.450000018     E= -0.855579913    
 a=  0.500000000     E= -0.817236722    
 a=  0.550000012     E= -0.784027636    
 a=  0.600000024     E= -0.755047143    
 a=  0.650000036     E= -0.729595363    
 a=  0.699999988     E= -0.707118094    
 a=  0.750000000     E= -0.687155247    
 a=  0.800000012     E= -0.669365942    
 a=  0.850000024     E= -0.653466105    
 a=  0.900000036     E= -0.639188528    
 a=  0.949999988     E= -0.626348853    
 a=   1.00000000     E= -0.614789486    
 a=   1.05000007     E= -0.604327142    
 a=   1.10000002     E= -0.594869554    
 a=   1.14999998     E= -0.586295962    
 a=   1.20000005     E= -0.578522980    
 a=   1.25000000     E= -0.571454167    
 a=   1.30000007     E= -0.565028787    
 a=   1.35000002     E= -0.559188306    
 a=   1.39999998     E= -0.553875864    
 a=   1.45000005     E= -0.549036443    
 a=   1.50000000     E= -0.544632196    
 a=   1.55000007     E= -0.540610552    
 a=   1.60000002     E= -0.536951602    
 a=   1.64999998     E= -0.533620358    
 a=   1.70000005     E= -0.530582368    
 a=   1.75000000     E= -0.527803838    
 a=   1.80000007     E= -0.525282800    
 a=   1.85000002     E= -0.522986233    
 a=   1.89999998     E= -0.520897210    
 a=   1.95000005     E= -0.518983305    
 a=   2.00000000     E= -0.517243624    
 a=   2.04999995     E= -0.515677333    
 a=   2.10000014     E= -0.514237225    
 a=   2.15000010     E= -0.512922704    
 a=   2.20000005     E= -0.511733413    
 a=   2.25000000     E= -0.510653377    
 a=   2.29999995     E= -0.509666920    
 a=   2.35000014     E= -0.508773804    
 a=   2.40000010     E= -0.507958353    
 a=   2.45000005     E= -0.507220387    
 a=   2.50000000     E= -0.506544411    
 a=   2.54999995     E= -0.505930245    
 a=   2.60000014     E= -0.505377829    
 a=   2.65000010     E= -0.504871726    
 a=   2.70000005     E= -0.504427195    
 a=   2.75000000     E= -0.504013479    
 a=   2.79999995     E= -0.503630519    
 a=   2.85000014     E= -0.503293693    
 a=   2.90000010     E= -0.502987564    
 a=   2.95000005     E= -0.502696812    
 a=   3.00000000     E= -0.502452016    
 a=   3.04999995     E= -0.502222598    
 a=   3.10000014     E= -0.502008557    
 a=   3.15000010     E= -0.501809776    
 a=   3.20000005     E= -0.501641691    
 a=   3.25000000     E= -0.501488864    
 a=   3.29999995     E= -0.501351297    
 a=   3.35000014     E= -0.501229107    
 a=   3.40000010     E= -0.501106858    
 a=   3.45000005     E= -0.500999928    
 a=   3.50000000     E= -0.500908315    
 a=   3.54999995     E= -0.500816703    
 a=   3.60000014     E= -0.500740349    
 a=   3.65000010     E= -0.500679255    
 a=   3.70000005     E= -0.500602901    
 a=   3.75000000     E= -0.500557125    
 a=   3.79999995     E= -0.500496030    
 a=   3.85000014     E= -0.500450253    
 a=   3.90000010     E= -0.500404418    
 a=   3.95000005     E= -0.500373900    
 a=   4.00000000     E= -0.500328124    
 a=   4.05000019     E= -0.500297606    
 a=   4.09999990     E= -0.500267088    
 a=   4.15000010     E= -0.500251830    
 a=   4.20000029     E= -0.500221252    
 a=   4.25000000     E= -0.500205994    
 a=   4.30000019     E= -0.500190735    
 a=   4.34999990     E= -0.500160217    
 a=   4.40000010     E= -0.500144958    
 a=   4.45000029     E= -0.500129700    
 a=   4.50000000     E= -0.500129700    
 a=   4.55000019     E= -0.500114441    
 a=   4.59999990     E= -0.500099182    
 a=   4.65000010     E= -0.500083923    
 a=   4.70000029     E= -0.500083923    
 a=   4.75000000     E= -0.500068665    
 a=   4.80000019     E= -0.500068665    
 a=   4.84999990     E= -0.500068665    
 a=   4.90000010     E= -0.500053406    
 a=   4.95000029     E= -0.500053406    
 a=   5.00000000     E= -0.500038147    
