     k    x1            x2            x3
     1  2.000000      2.000000      4.000000    
     2 0.5000000      2.500000      2.000000    
     3  1.500000      1.750000      3.000000    
     4  1.000000      2.250000      2.750000    
     5  1.125000      2.000000      2.750000    
     6  1.125000      2.062500      2.875000    
     7  1.062500      2.062500      2.812500    
     8  1.093750      2.031250      2.875000    
     9  1.062500      2.046875      2.875000    
    10  1.062500      2.031250      2.890625    
    11  1.054688      2.031250      2.906250    
    12  1.046875      2.027344      2.914062    
    13  1.042969      2.023438      2.925781    
    14  1.037109      2.021484      2.933594    
    15  1.033203      2.018555      2.941406    
    16  1.029297      2.016602      2.948242    
    17  1.025879      2.014648      2.954102    
    18  1.022949      2.012939      2.959473    
    19  1.020264      2.011475      2.964111    
    20  1.017944      2.010132      2.968262    
    21  1.015869      2.008972      2.971924    
    22  1.014038      2.007935      2.975159    
    23  1.012421      2.007019      2.978027    
    24  1.010986      2.006210      2.980560    
    25  1.009720      2.005493      2.982803    
    26  1.008598      2.004860      2.984787    
    27  1.007607      2.004299      2.986542    
    28  1.006729      2.003803      2.988094    
    29  1.005953      2.003365      2.989468    
    30  1.005266      2.002976      2.990683    
    31  1.004659      2.002633      2.991757    
    32  1.004121      2.002329      2.992708    
    33  1.003646      2.002061      2.993549    
    34  1.003225      2.001823      2.994293    
    35  1.002853      2.001613      2.994952    
    36  1.002524      2.001427      2.995534    
    37  1.002233      2.001262      2.996049    
    38  1.001975      2.001117      2.996505    
    39  1.001748      2.000988      2.996908    
    40  1.001546      2.000874      2.997265    
    41  1.001368      2.000773      2.997580    
    42  1.001210      2.000684      2.997859    
    43  1.001070      2.000605      2.998106    
    44  1.000947      2.000535      2.998325    
    45  1.000838      2.000473      2.998518    
    46  1.000741      2.000419      2.998689    
    47  1.000656      2.000371      2.998840    
    48  1.000580      2.000328      2.998974    
    49  1.000513      2.000290      2.999092    
    50  1.000454      2.000257      2.999197    
    51  1.000401      2.000227      2.999290    
    52  1.000355      2.000201      2.999372    
    53  1.000314      2.000178      2.999444    
    54  1.000278      2.000157      2.999508    
    55  1.000246      2.000139      2.999565    
    56  1.000218      2.000123      2.999615    
    57  1.000192      2.000109      2.999660    
    58  1.000170      2.000096      2.999699    
    59  1.000151      2.000085      2.999733    
    60  1.000133      2.000075      2.999764    
    61  1.000118      2.000067      2.999791    
    62  1.000104      2.000059      2.999815    
    63  1.000092      2.000052      2.999837    
    64  1.000082      2.000046      2.999856    
    65  1.000072      2.000041      2.999872    
    66  1.000064      2.000036      2.999887    
    67  1.000057      2.000032      2.999900    
    68  1.000050      2.000028      2.999912    
    69  1.000044      2.000025      2.999922    
    70  1.000039      2.000022      2.999931    
    71  1.000035      2.000020      2.999939    
    72  1.000031      2.000017      2.999946    
    73  1.000027      2.000015      2.999952    
    74  1.000024      2.000014      2.999958    
    75  1.000021      2.000012      2.999963    
    76  1.000019      2.000010      2.999967    
    77  1.000017      2.000009      2.999971    
    78  1.000015      2.000008      2.999974    
    79  1.000013      2.000007      2.999977    
    80  1.000011      2.000006      2.999980    
    81  1.000010      2.000006      2.999982    
    82  1.000009      2.000005      2.999984    
    83  1.000008      2.000005      2.999986    
    84  1.000007      2.000004      2.999988    
    85  1.000006      2.000003      2.999989    
    86  1.000005      2.000003      2.999990    
    87  1.000005      2.000003      2.999991    
    88  1.000004      2.000002      2.999993    
    89  1.000004      2.000002      2.999993    
    90  1.000003      2.000002      2.999994    
    91  1.000003      2.000002      2.999995    
    92  1.000003      2.000001      2.999995    
    93  1.000002      2.000001      2.999996    
    94  1.000002      2.000001      2.999996    
    95  1.000002      2.000001      2.999997    
    96  1.000002      2.000001      2.999997    
    97  1.000001      2.000001      2.999997    
    98  1.000001      2.000001      2.999998    
    99  1.000001      2.000001      2.999998    
   100  1.000001      2.000000      2.999998    
   101  1.000001      2.000000      2.999999    
   102  1.000001      2.000000      2.999999    
   103  1.000001      2.000000      2.999999    
   104  1.000001      2.000000      2.999999    
   105  1.000001      2.000000      2.999999    
   106  1.000000      2.000000      2.999999    
   107  1.000000      2.000000      2.999999    
   108  1.000000      2.000000      2.999999    
   109  1.000000      2.000000      3.000000    
   110  1.000000      2.000000      3.000000    
   111  1.000000      2.000000      3.000000    
   112  1.000000      2.000000      3.000000    
