  z                 v                vq               dif
  0.129352942       11.0642004       38.6539345       71.3762665    
  0.158705890       10.6441927       31.5048161       66.2140808    
  0.188058823       10.2438545       26.5874252       61.4710541    
  0.217411757       9.86261463       22.9978371       57.1150322    
  0.246764705       9.49985027       20.2622166       53.1154442    
  0.276117653       9.15489197       18.1082230       49.4434547    
  0.305470586       8.82705212       16.3681889       46.0719070    
  0.334823519       8.51558685       14.9332399       42.9756241    
  0.364176452       8.21976185       13.7296085       40.1311264    
  0.393529415       7.93883801       12.7055302       37.5166740    
  0.422882348       7.67207336       11.8236198       35.1123123    
  0.452235281       7.41873741       11.0561914       32.8997002    
  0.481588244       7.17812300       10.3823128       30.8620033    
  0.510941148       6.94954395       9.78586292       28.9838409    
  0.540294111       6.73233461       9.25421906       27.2511864    
  0.569647074       6.52585077       8.77736473       25.6513653    
  0.598999977       6.32949114       8.34724617       24.1727028    
  0.628352940       6.14267015       7.95731115       22.8047009    
  0.657705903       5.96484756       7.60218191       21.5376892    
  0.687058806       5.79549074       7.27739763       20.3631439    
  0.716411769       5.63411713       6.97922659       19.2730446    
  0.745764673       5.48026323       6.70452785       18.2602654    
  0.775117636       5.33348894       6.45063400       17.3183765    
  0.804470599       5.19339132       6.21526766       16.4413891    
  0.833823502       5.05958128       5.99647284       15.6240444    
  0.863176465       4.93169975       5.79255819       14.8614550    
  0.892529368       4.80940580       5.60205650       14.1492805    
  0.921882331       4.69239187       5.42368555       13.4833345    
  0.951235294       4.58035612       5.25632286       12.8600693    
  0.980588198       4.47301912       5.09898043       12.2762051    
   1.00994110       4.37012196       4.95078373       11.7286835    
   1.03929412       4.27142382       4.81095743       11.2146826    
   1.06864703       4.17669344       4.67881346       10.7317810    
   1.09799993       4.08572388       4.55373430       10.2775087    
   1.12735295       3.99830747       4.43516827       9.84992599    
   1.15670586       3.91426015       4.32261992       9.44704342    
   1.18605876       3.83340883       4.21564293       9.06704140    
   1.21541178       3.75558305       4.11383200       8.70839977    
   1.24476469       3.68063116       4.01682329       8.36960220    
   1.27411759       3.60841084       3.92428446       8.04920292    
   1.30347061       3.53878188       3.83591318       7.74603796    
   1.33282351       3.47161722       3.75143433       7.45893669    
   1.36217642       3.40679860       3.67059660       7.18678808    
   1.39152944       3.34421039       3.59316874       6.92865753    
   1.42088234       3.28374648       3.51894021       6.68365240    
   1.45023525       3.22530890       3.44771647       6.45086622    
   1.47958827       3.16880131       3.37931848       6.22957468    
   1.50894117       3.11413550       3.31358171       6.01905203    
   1.53829408       3.06122732       3.25035381       5.81864309    
   1.56764698       3.00999761       3.18949366       5.62772846    
   1.59700000       2.96036983       3.13087034       5.44578648    
   1.62635291       2.91227889       3.07436347       5.27213478    
   1.65570581       2.86565185       3.01986027       5.10647535    
   1.68505883       2.82042909       2.96725535       4.94821835    
   1.71441174       2.77655053       2.91645217       4.79698038    
   1.74376464       2.73395681       2.86735940       4.65245438    
   1.77311766       2.69260073       2.81989193       4.51404524    
   1.80247056       2.65242457       2.77397037       4.38165426    
   1.83182347       2.61338496       2.72952056       4.25479841    
   1.86117649       2.57543468       2.68647289       4.13323402    
   1.89052939       2.53853178       2.64476180       4.01661968    
   1.91988230       2.50263309       2.60432625       3.90477777    
   1.94923520       2.46769929       2.56510854       3.79747081    
   1.97858822       2.43369603       2.52705431       3.69435191    
   2.00794125       2.40058446       2.49011278       3.59535217    
   2.03729415       2.36833382       2.45423579       3.50015163    
   2.06664705       2.33691120       2.41937780       3.40858722    
   2.09599996       2.30628657       2.38549614       3.32046509    
   2.12535286       2.27643013       2.35255051       3.23565316    
   2.15470576       2.24731374       2.32050252       3.15400577    
   2.18405867       2.21891046       2.28931570       3.07538390    
   2.21341181       2.19119644       2.25895596       2.99959421    
   2.24276471       2.16414833       2.22939134       2.92649412    
   2.27211761       2.13774157       2.20059037       2.85599756    
   2.30147052       2.11195517       2.17252398       2.78794670    
   2.33082342       2.08676767       2.14516473       2.72226429    
   2.36017632       2.06215835       2.11848569       2.65884924    
   2.38952947       2.03810835       2.09246206       2.59759617    
   2.41888237       2.01460052       2.06707025       2.53836226    
   2.44823527       1.99161482       2.04228735       2.48116565    
   2.47758818       1.96913707       2.01809168       2.42578697    
   2.50694108       1.94714963       1.99446249       2.37221074    
   2.53629398       1.92563653       1.97138035       2.32039571    
   2.56564713       1.90458345       1.94882607       2.27021909    
   2.59500003       1.88397694       1.92678225       2.22159576    
   2.62435293       1.86380148       1.90523160       2.17454481    
   2.65370584       1.84404552       1.88415754       2.12891006    
   2.68305874       1.82469523       1.86354470       2.08470845    
   2.71241164       1.80573809       1.84337807       2.04190207    
   2.74176455       1.78716564       1.82364309       2.00025129    
   2.77111769       1.76896310       1.80432606       1.95989847    
   2.80047059       1.75111938       1.78541422       1.92083406    
   2.82982349       1.73362768       1.76689470       1.88279593    
   2.85917640       1.71647477       1.74875534       1.84591651    
   2.88852930       1.69965267       1.73098469       1.81006896    
   2.91788220       1.68315077       1.71357155       1.77528512    
   2.94723535       1.66696203       1.69650519       1.74141300    
   2.97658825       1.65107489       1.67977548       1.70859683    
   3.00594115       1.63548517       1.66337252       1.67655432    
   3.03529406       1.62018073       1.64728689       1.64550364    
   3.06464696       1.60515583       1.63150930       1.61528218    
   3.09399986       1.59040308       1.61603105       1.58585882    
   3.12335300       1.57591569       1.60084367       1.55717731    
   3.15270591       1.56168544       1.58593929       1.52930474    
   3.18205881       1.54770577       1.57130969       1.50218105    
   3.21141171       1.53397059       1.55694771       1.47577941    
   3.24076462       1.52047360       1.54284573       1.45005596    
   3.27011752       1.50720894       1.52899706       1.42499423    
   3.29947042       1.49417162       1.51539469       1.40049767    
   3.32882357       1.48135459       1.50203216       1.37663937    
   3.35817647       1.46875226       1.48890328       1.35341358    
   3.38752937       1.45635879       1.47600198       1.33083749    
   3.41688228       1.44417179       1.46332228       1.30869973    
   3.44623518       1.43218434       1.45085859       1.28711748    
   3.47558808       1.42039144       1.43860543       1.26608634    
   3.50494123       1.40878916       1.42655742       1.24553442    
   3.53429413       1.39737201       1.41470969       1.22552919    
   3.56364703       1.38613605       1.40305698       1.20600402    
   3.59299994       1.37507856       1.39159477       1.18685472    
   3.62235284       1.36419284       1.38031828       1.16824079    
   3.65170574       1.35347700       1.36922312       1.15000367    
   3.68105865       1.34292519       1.35830486       1.13226914    
   3.71041179       1.33253586       1.34755933       1.11486518    
   3.73976469       1.32230461       1.33698249       1.09783649    
   3.76911759       1.31222665       1.32657039       1.08126473    
   3.79847050       1.30230045       1.31631935       1.06500697    
   3.82782340       1.29252148       1.30622542       1.04912531    
   3.85717630       1.28288615       1.29628503       1.03363729    
   3.88652945       1.27339303       1.28649485       1.01841187    
   3.91588235       1.26403725       1.27685142       1.00357521    
   3.94523525       1.25481677       1.26735151      0.989049792    
   3.97458816       1.24572909       1.25799203      0.974802732    
   4.00394106       1.23677099       1.24876964      0.960838020    
   4.03329420       1.22793841       1.23968148      0.947264969    
   4.06264687       1.21923113       1.23072469      0.933885813    
   4.09200001       1.21064436       1.22189641      0.920867383    
   4.12135267       1.20217681       1.21319389      0.908105791    
   4.15070581       1.19382668       1.20461440      0.895533502    
   4.18005896       1.18558931       1.19615543      0.883339643    
   4.20941162       1.17746484       1.18781447      0.871317148    
   4.23876476       1.16945088       1.17958891      0.859454930    
   4.26811743       1.16154337       1.17147672      0.847934246    
   4.29747057       1.15374148       1.16347516      0.836603761    
   4.32682323       1.14604223       1.15558219      0.825554609    
