 x   y1   y2   y3   y4
   0.00000000       1.00000000       0.00000000       0.00000000       0.00000000    
   9.99999978E-03   1.00000000      -5.94342175E-09  -4.90499951E-04  -9.80999991E-02
   1.99999996E-02   1.00000000      -1.01386227E-07  -1.96199981E-03 -0.196199998    
   2.99999993E-02   1.00000000      -7.33820684E-07  -4.41449974E-03 -0.294299990    
   3.99999991E-02   1.00000000      -3.06667948E-06  -7.84799922E-03 -0.392399967    
   4.99999970E-02  0.999999940      -9.33585216E-06  -1.22624980E-02 -0.490499884    
   5.99999987E-02  0.999999762      -2.31957802E-05  -1.76579952E-02 -0.588599682    
   7.00000003E-02  0.999999404      -5.00827664E-05  -2.40344889E-02 -0.686699092    
   7.99999982E-02  0.999998689      -9.75611183E-05  -3.13919745E-02 -0.784797788    
   8.99999961E-02  0.999997377      -1.75655412E-04  -3.97304408E-02 -0.882894993    
   9.99999940E-02  0.999995053      -2.97187536E-04  -4.90498655E-02 -0.980989575    
  0.109999999      0.999991238      -4.78089583E-04  -5.93502149E-02  -1.07907975    
  0.119999997      0.999985218      -7.37707654E-04  -7.06314370E-02  -1.17716277    
  0.129999995      0.999976158      -1.09907682E-03  -8.28934386E-02  -1.27523494    
  0.140000001      0.999962807      -1.58919010E-03  -9.61360857E-02  -1.37329090    
  0.149999991      0.999943793      -2.23918585E-03 -0.110359184      -1.47132361    
  0.159999996      0.999917328      -3.08455061E-03 -0.125562444      -1.56932366    
  0.170000002      0.999881268      -4.16523544E-03 -0.141745508      -1.66727901    
  0.179999992      0.999833047      -5.52573381E-03 -0.158907831      -1.76517415    
  0.189999998      0.999769628      -7.21507426E-03 -0.177048728      -1.86298990    
  0.199999988      0.999687433      -9.28676501E-03 -0.196167290      -1.96070266    
  0.209999993      0.999582410      -1.17986379E-02 -0.216262341      -2.05828381    
  0.219999999      0.999449790      -1.48126222E-02 -0.237332404      -2.15569925    
  0.229999989      0.999284267      -1.83944106E-02 -0.259375632      -2.25290823    
  0.239999995      0.999079764      -2.26130486E-02 -0.282389730      -2.34986353    
  0.250000000      0.998829603      -2.75404155E-02 -0.306371868      -2.44651031    
  0.259999990      0.998526335      -3.32506374E-02 -0.331318676      -2.54278588    
  0.269999981      0.998161733      -3.98193933E-02 -0.357226104      -2.63861918    
  0.280000001      0.997726858      -4.73231673E-02 -0.384089321      -2.73393059    
  0.289999992      0.997211933      -5.58384173E-02 -0.411902666      -2.82863116    
  0.299999982      0.996606469      -6.54407293E-02 -0.440659583      -2.92262316    
  0.310000002      0.995899260      -7.62038976E-02 -0.470352411      -3.01580000    
  0.319999993      0.995078325      -8.81990567E-02 -0.500972450      -3.10804558    
  0.329999983      0.994130969     -0.101493776     -0.532509804      -3.19923592    
  0.340000004      0.993043900     -0.116151214     -0.564953208      -3.28923821    
  0.349999994      0.991803229     -0.132229313     -0.598290145      -3.37791252    
  0.359999985      0.990394413     -0.149780080     -0.632506549      -3.46511173    
  0.370000005      0.988802552     -0.168848932     -0.667586923      -3.55068254    
  0.379999995      0.987012267     -0.189474165     -0.703514218      -3.63446641    
  0.389999986      0.985007823     -0.211686492     -0.740269721      -3.71630049    
  0.399999976      0.982773185     -0.235508725     -0.777833164      -3.79601860    
