 x   y1   y2   y3 
   2.20425706E-38   1.70000005       1.00000000       1.70000005    
  0.600000024       1.15714955       1.03189957       2.56313252    
   1.20000005      0.713810146       1.02683151       3.22756171    
   1.80000007      0.415383965      0.994609118       3.55569339    
   2.40000010      0.238260493      0.947150528       3.60054088    
   3.00000000      0.138898611      0.893175900       3.47342730    
   3.60000014       8.36705640E-02  0.837702215       3.26156044    
   4.20000029       5.24533279E-02  0.783284664       3.01672411    
   4.80000019       3.42855975E-02  0.731126130       2.76624918    
   5.40000010       2.33471803E-02  0.681737840       2.52364111    
   6.00000000       1.65284295E-02  0.635284960       2.29512215    
   6.60000038       1.21327192E-02  0.591760933       2.08316588    
   7.20000029       9.20869503E-03  0.551074743       1.88833523    
   7.80000019       7.20688887E-03  0.513095438       1.71023095    
   8.40000057       5.80039062E-03  0.477675259       1.54798698    
   9.00000000       4.78904042E-03  0.444661617       1.40053153    
   9.60000038       4.04690625E-03  0.413903564       1.26672614    
   10.2000008       3.49271111E-03  0.385255128       1.14543927    
   10.8000002       3.07274237E-03  0.358577013       1.03558517    
   11.4000006       2.75071734E-03  0.333737373      0.936142504    
   12.0000000       2.50162836E-03  0.310612053      0.846162438    
   12.6000004       2.30791885E-03  0.289084494      0.764770448    
   13.2000008       2.15705484E-03  0.269045591      0.691164851    
   13.8000002       2.03995174E-03  0.250393331      0.624613464    
   14.4000006       1.94993545E-03  0.233032450      0.564449310    
   15.0000010       1.88204530E-03  0.216874033      0.510065854    
   15.6000004       1.83255668E-03  0.201835185      0.460912436    
   16.2000008       1.79865072E-03  0.187838614      0.416489542    
   16.8000011       1.77818141E-03  0.174812317      0.376344472    
   17.4000015       1.76950975E-03  0.162689209      0.340067178    
   18.0000000       1.77138380E-03  0.151406795      0.307286441    
   18.6000004       1.78285118E-03  0.140906870      0.277666271    
   19.2000008       1.80319464E-03  0.131135255      0.250902712    
   19.8000011       1.83188391E-03  0.122041509      0.226720825    
   20.4000015       1.86853937E-03  0.113578647      0.204871997    
   21.0000000       1.91290502E-03  0.105702944      0.185131416    
   21.6000004       1.96482753E-03   9.83736962E-02  0.167295843    
   22.2000008       2.02424033E-03   9.15530175E-02  0.151181579    
   22.8000011       2.09115143E-03   8.52056369E-02  0.136622578    
   23.4000015       2.16563419E-03   7.92987272E-02  0.123468779    
   24.0000000       2.24782014E-03   7.38017336E-02  0.111584552    
   24.6000004       2.33789370E-03   6.86862245E-02  0.100847341    
   25.2000008       2.43608793E-03   6.39257282E-02   9.11464021E-02
   25.8000011       2.54268153E-03   5.94956130E-02   8.23816806E-02
   26.4000015       2.65799719E-03   5.53729571E-02   7.44627565E-02
   27.0000019       2.78240023E-03   5.15364222E-02   6.73079342E-02
   27.6000004       2.91629718E-03   4.79661524E-02   6.08434193E-02
   28.2000008       3.06013599E-03   4.46436703E-02   5.50025329E-02
   28.8000011       3.21440678E-03   4.15517762E-02   4.97250296E-02
   29.4000015       3.37964133E-03   3.86744663E-02   4.49564904E-02
