 x   y1   y2   y3 
   1.14814885E-38   1.70000005       1.00000000       1.70000005    
  0.600000024       1.50412369       1.04523623       1.77690172    
   1.20000005       1.32163811       1.07758737       1.83189869    
   1.80000007       1.15595770       1.09697127       1.86485136    
   2.40000010       1.00867820       1.10408413       1.87694311    
   3.00000000      0.879931688       1.10016727       1.87028456    
   3.60000014      0.768822074       1.08676922       1.84750783    
   4.20000029      0.673834383       1.06554389       1.81142473    
   4.80000019      0.593162477       1.03810430       1.76477754    
   5.40000010      0.524940312       1.00593102       1.71008301    
   6.00000000      0.467387080      0.970324695       1.64955223    
   6.60000038      0.418885827      0.932390869       1.58506477    
   7.20000029      0.378016114      0.893045306       1.51817727    
   7.80000019      0.343558043      0.853030205       1.45015156    
   8.40000057      0.314480126      0.812935650       1.38199079    
   9.00000000      0.289919287      0.773222327       1.31447816    
   9.60000038      0.269158453      0.734243035       1.24821329    
   10.2000008      0.251604527      0.696261942       1.18364549    
   10.8000002      0.236768126      0.659471452       1.12110174    
   11.4000006      0.224245995      0.624006391       1.06081104    
   12.0000000      0.213705927      0.589955509       1.00292456    
   12.6000004      0.204874158      0.557371497      0.947531700    
   13.2000008      0.197524920      0.526278555      0.894673765    
   13.8000002      0.191471919      0.496678978      0.844354451    
   14.4000006      0.186561361      0.468558043      0.796548843    
   15.0000010      0.182666227      0.441888303      0.751210272    
   15.6000004      0.179681689      0.416632742      0.708275855    
   16.2000008      0.177521363      0.392747462      0.667670906    
   16.8000011      0.176114246      0.370183706      0.629312515    
   17.4000015      0.175402239      0.348889560      0.593112409    
   18.0000000      0.175338119      0.328811139      0.558979094    
   18.6000004      0.175883934      0.309893698      0.526819408    
   19.2000008      0.177009627      0.292082399      0.496540189    
   19.8000011      0.178691953      0.275322914      0.468049049    
   20.4000015      0.180913582      0.259561867      0.441255271    
   21.0000000      0.183662370      0.244747251      0.416070402    
   21.6000004      0.186930731      0.230828598      0.392408699    
   22.2000008      0.190715209      0.217757240      0.370187402    
   22.8000011      0.195016012      0.205486387      0.349326938    
   23.4000015      0.199836746      0.193971217      0.329751134    
   24.0000000      0.205184117      0.183168933      0.311387241    
   24.6000004      0.211067751      0.173038751      0.294165909    
   25.2000008      0.217500001      0.163541898      0.278021246    
   25.8000011      0.224495843      0.154641598      0.262890756    
   26.4000015      0.232072771      0.146303028      0.248715192    
   27.0000019      0.240250736      0.138493255      0.235438585    
   27.6000004      0.249052107      0.131181180      0.223008066    
   28.2000008      0.258501649      0.124337502      0.211373806    
   28.8000011      0.268626481      0.117934600      0.200488865    
   29.4000015      0.279456109      0.111946523      0.190309137    
   30.0000019      0.291022509      0.106348887      0.180793166    
   30.6000004      0.303360045      0.101118833      0.171902075    
   31.2000008      0.316505611       9.62349400E-02  0.163599461    
   31.8000011      0.330498636       9.16771814E-02  0.155851260    
   32.4000015      0.345381141       8.74268487E-02  0.148625687    
   33.0000000      0.361197859       8.34665075E-02  0.141893104    
   33.6000023      0.377996296       7.97799379E-02  0.135625944    
   34.2000008      0.395826727       7.63520896E-02  0.129798606    
   34.8000031      0.414742351       7.31690377E-02  0.124387413    
   35.4000015      0.434799403       7.02179298E-02  0.119370520    
   36.0000000      0.456057191       6.74869567E-02  0.114727862    
   36.6000023      0.478578120       6.49653301E-02  0.110441096    
   37.2000008      0.502427876       6.26432523E-02  0.106493570    
   37.8000031      0.527675450       6.05119020E-02  0.102870271    
   38.4000015      0.554393172       5.85634075E-02   9.95578319E-02
   39.0000000      0.582656801       5.67908585E-02   9.65444967E-02
   39.6000023      0.612545431       5.51883094E-02   9.38201621E-02
   40.2000008      0.644141674       5.37507869E-02   9.13763717E-02
   40.8000031      0.677531481       5.24743199E-02   8.92063826E-02
   41.4000015      0.712804139       5.13559803E-02   8.73052105E-02
   42.0000000      0.750052094       5.03939353E-02   8.56697336E-02
   42.6000023      0.789370775       4.95875143E-02   8.42988193E-02
   43.2000008      0.830858409       4.89373058E-02   8.31934586E-02
   43.8000031      0.874615610       4.84452695E-02   8.23569968E-02
   44.4000015      0.920744777       4.81148884E-02   8.17953497E-02
   45.0000000      0.969349623       4.79513444E-02   8.15173239E-02
   45.6000023       1.02053428       4.79617454E-02   8.15350041E-02
   46.2000008       1.07440221       4.81554046E-02   8.18642229E-02
   46.8000031       1.13105500       4.85441834E-02   8.25251415E-02
   47.4000015       1.19059050       4.91429009E-02   8.35429654E-02
   48.0000000       1.25310099       4.99698669E-02   8.49488080E-02
   48.6000023       1.31867015       5.10475077E-02   8.67808014E-02
   49.2000008       1.38736999       5.24031594E-02   8.90854076E-02
   49.8000031       1.45925665       5.40700294E-02   9.19190869E-02
   50.4000015       1.53436518       5.60883991E-02   9.53503177E-02
   51.0000038       1.61270308       5.85070997E-02   9.94621143E-02
   51.6000023       1.69424236       6.13853410E-02  0.104355127    
   52.2000008       1.77890933       6.47949651E-02  0.110151492    
   52.8000031       1.86657250       6.88232332E-02  0.116999544    
   53.4000015       1.95702720       7.35762268E-02  0.125079632    
   54.0000038       2.04997635       7.91830495E-02  0.134611234    
   54.6000023       2.14500809       8.58008713E-02  0.145861536    
   55.2000008       2.24156666       9.36209857E-02  0.159155741    
   55.8000031       2.33891940      0.102875963      0.174889207    
   56.4000015       2.43611693      0.113847755      0.193541273    
   57.0000038       2.53194737      0.126876637      0.215690389    
   57.6000023       2.62488556      0.142370239      0.242029533    
   58.2000008       2.71304059      0.160811514      0.273379713    
   58.8000031       2.79410696      0.182763502      0.310698092    
   59.4000015       2.86532950      0.208867282      0.355074555    
   60.0000038       2.92349696      0.239828154      0.407708079    
   60.6000023       2.96498775      0.276382774      0.469850957    
   61.2000008       2.98589563      0.319238991      0.542706549    
   61.8000031       2.98226547      0.368980527      0.627267182    
   62.4000015       2.95046401      0.425932854      0.724086165    
   63.0000038       2.88768053      0.489997149      0.832995474    
   63.6000023       2.79251146      0.560476243      0.952810049    
   64.2000046       2.66551900      0.635937035       1.08109355    
   64.8000031       2.50960135      0.714167774       1.21408594    
   65.4000015       2.33000851      0.792283356       1.34688246    
   66.0000000       2.13390374      0.866996467       1.47389483    
   66.6000061       1.92951775      0.935014367       1.58952534    
   67.2000046       1.72509336      0.993467331       1.68889546    
   67.8000031       1.52789521       1.04025590       1.76843619    
   68.4000015       1.34352291       1.07423472       1.82620013    
   69.0000000       1.17563295       1.09521079       1.86185944    
   69.6000061       1.02603161       1.10379505       1.87645257    
   70.2000046      0.895010233       1.10117412       1.87199712    
   70.8000031      0.781777680       1.08887005       1.85108018    
   71.4000015      0.684876561       1.06853259       1.81650651    
   72.0000000      0.602522790       1.04178584       1.77103710    
   72.6000061      0.532848418       1.01013005       1.71722233    
   73.2000046      0.474056810      0.974889636       1.65731359    
   73.8000031      0.424508154      0.937194467       1.59323168    
   74.4000015      0.382756948      0.897983134       1.52657235    
   75.0000000      0.347558826      0.858018339       1.45863211    
   75.6000061      0.317859769      0.817907870       1.39044428    
   76.2000046      0.292776972      0.778127372       1.32281744    
   76.8000031      0.271576434      0.739041984       1.25637221    
   77.4000015      0.253650755      0.700925946       1.19157493    
   78.0000000      0.238498628      0.663979828       1.12876654    
   78.6000061      0.225706950      0.628344893       1.06818712    
   79.2000046      0.214935377      0.594115198       1.00999653    
   79.8000031      0.205903471      0.561347365      0.954291165    
   80.4000015      0.198379979      0.530068815      0.901117623    
   81.0000000      0.192174107      0.500284255      0.850483894    
   81.6000061      0.187128320      0.471980900      0.802368164    
   82.2000046      0.183112547      0.445132673      0.756726146    
   82.8000031      0.180019408      0.419703603      0.713496685    
   83.4000015      0.177760392      0.395650536      0.672606468    
   84.0000000      0.176262721      0.372925252      0.633973420    
   84.6000061      0.175466806      0.351476103      0.597509801    
   85.2000046      0.175324172      0.331249416      0.563124418    
   85.8000031      0.175795779      0.312190533      0.530724287    
   86.4000015      0.176850647      0.294244587      0.500216126    
   87.0000000      0.178464741      0.277357131      0.471507430    
   87.6000061      0.180620030      0.261474699      0.444507271    
   88.2000046      0.183303744      0.246545061      0.419126868    
   88.8000031      0.186507791      0.232517570      0.395280123    
   89.4000015      0.190228194      0.219343320      0.372883886    
   90.0000000      0.194464743      0.206975281      0.351858228    
   90.6000061      0.199220628      0.195368394      0.332126498    
   91.2000046      0.204502180      0.184479609      0.313615531    
   91.8000031      0.210318670      0.174267888      0.296255589    
   92.4000015      0.216682121      0.164694205      0.279980332    
   93.0000000      0.223607183      0.155721560      0.264726818    
   93.6000061      0.231111050      0.147314861      0.250435442    
   94.2000046      0.239213362      0.139440969      0.237049803    
   94.8000031      0.247936204      0.132068545      0.224516675    
   95.4000015      0.257304013      0.125168055      0.212785840    
   96.0000000      0.267343640      0.118711695      0.201810017    
   96.6000061      0.278084308      0.112673305      0.191544741    
   97.2000046      0.289557636      0.107028313      0.181948245    
   97.8000031      0.301797748      0.101753667      0.172981337    
   98.4000015      0.314841181       9.68277752E-02  0.164607316    
   99.0000076      0.328727037       9.22304392E-02  0.156791836    
   99.6000061      0.343497068       8.79427865E-02  0.149502829    
   100.200005      0.359195620       8.39472339E-02  0.142710388    
   100.800003      0.375869840       8.02274123E-02  0.136386693    
   101.400002      0.393569678       7.67681301E-02  0.130505905    
   102.000008      0.412347972       7.35553131E-02  0.125044122    
   102.600006      0.432260573       7.05759823E-02  0.119979262    
   103.200005      0.453366399       6.78182095E-02  0.115291044    
   103.800003      0.475727469       6.52710795E-02  0.110960923    
   104.400002      0.499409050       6.29246682E-02  0.106972024    
   105.000008      0.524479747       6.07700348E-02  0.103309147    
   105.600006      0.551011443       5.87991923E-02   9.99587104E-02
   106.200005      0.579079449       5.70051074E-02   9.69087631E-02
   106.800003      0.608762443       5.53817153E-02   9.41489935E-02
   107.400002      0.640142620       5.39239235E-02   9.16707441E-02
   108.000008      0.673305571       5.26276343E-02   8.94670486E-02
   108.600006      0.708340108       5.14897890E-02   8.75327066E-02
   109.200005      0.745338261       5.05084097E-02   8.58643651E-02
   109.800003      0.784395218       4.96826842E-02   8.44606310E-02
   110.400002      0.825608790       4.90130335E-02   8.33222270E-02
   111.000008      0.869079292       4.85012457E-02   8.24521855E-02
   111.600006      0.914908946       4.81506027E-02   8.18560943E-02
   112.200005      0.963201344       4.79660705E-02   8.15423876E-02
   112.800003       1.01406062       4.79544997E-02   8.15227181E-02
   113.400002       1.06759036       4.81249206E-02   8.18124339E-02
   114.000008       1.12389255       4.84888516E-02   8.24311152E-02
   114.600006       1.18306553       4.90607284E-02   8.34033042E-02
   115.200005       1.24520242       4.98583913E-02   8.47593322E-02
   115.800003       1.31038797       5.09037226E-02   8.65364000E-02
   116.400002       1.37869596       5.22234030E-02   8.87798592E-02
   117.000008       1.45018470       5.38498573E-02   9.15448368E-02
   117.600006       1.52489221       5.58224171E-02   9.48981941E-02
   118.200005       1.60282969       5.81887700E-02   9.89209935E-02
   118.800003       1.68397403       6.10067286E-02  0.103711523    
   119.400002       1.76825786       6.43464327E-02  0.109389029    
   120.000008       1.85555768       6.82930723E-02  0.116098315    
   120.600006       1.94567859       7.29501918E-02  0.124015428    
   121.200005       2.03833628       7.84437954E-02  0.133354560    
   121.800003       2.13313413       8.49272758E-02  0.144376487    
   122.400002       2.22953606       9.25873443E-02  0.157398611    
   123.000008       2.32683349      0.101651043      0.172806904    
   123.600006       2.42410588      0.112393744      0.191069514    
   124.200005       2.52017665      0.125147998      0.212751776    
   124.800003       2.61356211      0.140312642      0.238531679    
   125.400002       2.70241928      0.158360928      0.269213796    
   126.000008       2.78449655      0.179845884      0.305738270    
   126.600006       2.85709548      0.205399364      0.349179238    
   127.200005       2.91706038      0.235719979      0.400724322    
   127.800003       2.96081567      0.271543056      0.461623579    
   128.400009       2.98448014      0.313584268      0.533093691    
   129.000000       2.98408794      0.362449080      0.616163909    
   129.600006       2.95594192      0.418503225      0.711456060    
   130.200012       2.89709949      0.481709868      0.818907440    
   130.800003       2.80595112      0.551454544      0.937473416    
   131.400009       2.68279076      0.626399934       1.06488061    
   132.000000       2.53021812      0.704428315       1.19752896    
   132.600006       2.35320663      0.782726645       1.33063626    
   133.200012       2.15872073      0.858038068       1.45866573    
   133.800003       1.95491421      0.927047193       1.57598126    
   134.400009       1.75008488      0.986810863       1.67757964    
   135.000000       1.55166268       1.03512096       1.75970685    
   135.600006       1.36547601       1.07071054       1.82020926    
   136.200012       1.19542289       1.09327471       1.85856831    
   136.800003       1.04352355       1.10333622       1.87567282    
   137.400009      0.910234272       1.10202372       1.87344170    
   138.000000      0.794874191       1.09082985       1.85441208    
   138.600006      0.696048379       1.07139778       1.82137752    
   139.200012      0.611998200       1.04536104       1.77711511    
   139.800003      0.540856361       1.01423872       1.72420716    
   140.400009      0.480811745      0.979378462       1.66494465    
   141.000000      0.430202425      0.941934228       1.60128939    
   141.600006      0.387558162      0.902867615       1.53487611    
   142.200012      0.351610065      0.862962008       1.46703649    
   142.800003      0.321281642      0.822843075       1.39883423    
   143.400009      0.295670092      0.783001602       1.33110368    
   144.000000      0.274024278      0.743815243       1.26448679    
   144.600006      0.255722284      0.705568552       1.19946730    
   145.200012      0.240250766      0.668470323       1.13640022    
   145.800003      0.227186590      0.632668495       1.07553709    
   146.400009      0.216181159      0.598262310       1.01704657    
   147.000000      0.206947252      0.565312624      0.961032093    
   147.600006      0.199248046      0.533850133      0.907545805    
   148.200012      0.192888156      0.503881991      0.856599927    
   148.800003      0.187706292      0.475397348      0.808175981    
   149.400009      0.183569238      0.448371589      0.762232125    
   150.000000      0.180367038      0.422769815      0.718709111    
   150.600006      0.178009033      0.398549646      0.677534759    
   151.200012      0.176420644      0.375663370      0.638628066    
   151.800003      0.175540775      0.354059696      0.601901770    
   152.400009      0.175319672      0.333685160      0.567265034    
   153.000000      0.175717205      0.314485162      0.534625053    
   153.600006      0.176701471      0.296404839      0.503888488    
   154.200012      0.178247616      0.279389679      0.474962711    
   154.800003      0.180336922      0.263386071      0.447756559    
   155.400009      0.182955995      0.248341620      0.422180980    
   156.000000      0.186096191      0.234205455      0.398149490    
   156.600006      0.189753056      0.220928460      0.375578582    
   157.200012      0.193925932      0.208463371      0.354387939    
   157.800003      0.198617607      0.196764886      0.334500492    
   158.400009      0.203834027      0.185789689      0.315842658    
   159.000000      0.209584117      0.175496504      0.298344254    
   159.600006      0.215879560      0.165846080      0.281938523    
   160.200012      0.222734705      0.156801149      0.266562134    
   160.800003      0.230166420      0.148326397      0.252155036    
   161.400009      0.238194063      0.140388429      0.238660470    
   162.000000      0.246839389      0.132955700      0.226024821    
   162.600006      0.256126583      0.125998467      0.214197516    
   163.200012      0.266082168      0.119488701      0.203130901    
   163.800003      0.276735097      0.113400042      0.192780182    
   164.400009      0.288116693      0.107707731      0.183103248    
   165.000000      0.300260723      0.102388538      0.174060613    
   165.600006      0.313203484       9.74206850E-02  0.165615261    
