     x              y              y-prima
   1.00000000       2.00000000      -2.42882776    
   1.00500000       1.98781979      -2.44323206    
   1.00999999       1.97556770      -2.45758200    
   1.01499999       1.96324408      -2.47187495    
   1.01999998       1.95084906      -2.48610854    
   1.02499998       1.93838310      -2.50028014    
   1.02999997       1.92584646      -2.51438737    
   1.03499997       1.91323936      -2.52842736    
   1.03999996       1.90056229      -2.54239774    
   1.04499996       1.88781548      -2.55629587    
   1.04999995       1.87499940      -2.57011914    
   1.05499995       1.86211443      -2.58386493    
   1.05999994       1.84916091      -2.59753060    
   1.06500006       1.83613932      -2.61111355    
   1.07000005       1.82305002      -2.62461138    
   1.07500005       1.80989337      -2.63802123    
   1.08000004       1.79666996      -2.65134048    
   1.08500004       1.78338015      -2.66456676    
   1.09000003       1.77002442      -2.67769718    
   1.09500003       1.75660336      -2.69072938    
   1.10000002       1.74311733      -2.70366073    
   1.10500002       1.72956693      -2.71648836    
   1.11000001       1.71595263      -2.72920990    
   1.11500001       1.70227504      -2.74182272    
   1.12000000       1.68853462      -2.75432420    
   1.12500000       1.67473197      -2.76671171    
   1.13000000       1.66086769      -2.77898288    
   1.13499999       1.64694238      -2.79113507    
   1.13999999       1.63295662      -2.80316567    
   1.14499998       1.61891103      -2.81507206    
   1.14999998       1.60480618      -2.82685184    
   1.15499997       1.59064269      -2.83850265    
   1.15999997       1.57642138      -2.85002184    
   1.16499996       1.56214273      -2.86140680    
   1.16999996       1.54780757      -2.87265539    
   1.17499995       1.53341651      -2.88376498    
   1.17999995       1.51897025      -2.89473319    
   1.18499994       1.50446951      -2.90555739    
   1.18999994       1.48991501      -2.91623545    
   1.19500005       1.47530746      -2.92676497    
   1.20000005       1.46064758      -2.93714356    
   1.20500004       1.44593620      -2.94736910    
   1.21000004       1.43117416      -2.95743918    
   1.21500003       1.41636217      -2.96735144    
   1.22000003       1.40150094      -2.97710395    
   1.22500002       1.38659143      -2.98669434    
   1.23000002       1.37163436      -2.99612021    
   1.23500001       1.35663056      -3.00537968    
   1.24000001       1.34158087      -3.01447058    
   1.24500000       1.32648611      -3.02339101    
   1.25000000       1.31134725      -3.03213882    
   1.25500000       1.29616499      -3.04071188    
   1.25999999       1.28094041      -3.04910827    
   1.26499999       1.26567423      -3.05732608    
   1.26999998       1.25036740      -3.06536341    
   1.27499998       1.23502088      -3.07321835    
   1.27999997       1.21963549      -3.08088923    
   1.28499997       1.20421231      -3.08837414    
   1.28999996       1.18875217      -3.09567142    
   1.29499996       1.17325592      -3.10277915    
   1.29999995       1.15772462      -3.10969591    
   1.30499995       1.14215922      -3.11642003    
   1.30999994       1.12656069      -3.12294984    
   1.31499994       1.11092997      -3.12928391    
   1.31999993       1.09526813      -3.13542056    
   1.32500005       1.07957613      -3.14135861    
   1.33000004       1.06385493      -3.14709640    
   1.33500004       1.04810548      -3.15263271    
   1.34000003       1.03232884      -3.15796638    
   1.34500003       1.01652610      -3.16309595    
   1.35000002       1.00069821      -3.16802025    
   1.35500002      0.984846234      -3.17273831    
   1.36000001      0.968971193      -3.17724872    
